,source,target,ShpName,post_type,shape_leng,st_label,betweenness_e,physicalid
5217,"(-73.94386764895397, 40.83526690014469)","(-73.94396782596765, 40.83530891175166)",CSCL_MN,ST,31.6658812473,W 159 ST,23281.0,27904.0
5218,"(-73.94386764895397, 40.83526690014469)","(-73.94431628803228, 40.83463503365478)",CSCL_MN,,261.553561303,BROADWAY,62127.0,2931.0
5219,"(-73.94386764895397, 40.83526690014469)","(-73.94111819524213, 40.83411376087717)",CSCL_MN,ST,869.122244549,W 159 ST,17011.0,181489.0
5220,"(-73.94431628803228, 40.83463503365478)","(-73.94477559538889, 40.83401622141741)",CSCL_MN,,258.814685076,BROADWAY,65957.0,2932.0
5221,"(-73.94431628803228, 40.83463503365478)","(-73.94157724065518, 40.83348746648928)",CSCL_MN,ST,865.626381481,W 158 ST,5887.0,72744.0
5222,"(-73.94477559538889, 40.83401622141741)","(-73.94523751958096, 40.8333962953361)",CSCL_MN,,259.535961551,BROADWAY,70662.0,2933.0
5223,"(-73.94477559538889, 40.83401622141741)","(-73.942031592047, 40.832864994603256)",CSCL_MN,ST,867.477568424,W 157 ST,29293.0,183602.0
5224,"(-73.94523751958096, 40.8333962953361)","(-73.94571933698654, 40.83272141326592)",CSCL_MN,,279.708090249,BROADWAY,74392.0,2934.0
5225,"(-73.94523751958096, 40.8333962953361)","(-73.9424989300322, 40.83224042927141)",CSCL_MN,ST,866.992420731,W 156 ST,12264.0,82668.0
5226,"(-73.94571933698654, 40.83272141326592)","(-73.94666606146373, 40.83142716004633)",CSCL_MN,,539.436632629,BROADWAY,80074.0,2935.0
5227,"(-73.94571933698654, 40.83272141326592)","(-73.94297966199173, 40.83156798036203)",CSCL_MN,ST,866.83156448,W 155 ST,9660.0,82992.0
5228,"(-73.94666606146373, 40.83142716004633)","(-73.94712787269522, 40.8308052302063)",CSCL_MN,,260.147331737,BROADWAY,82280.0,2936.0
5229,"(-73.94666606146373, 40.83142716004633)","(-73.94392353314103, 40.830271253710826)",CSCL_MN,ST,867.972026739,W 153 ST,2162.0,96028.0
5230,"(-73.94712787269522, 40.8308052302063)","(-73.94757857070356, 40.83017834022157)",CSCL_MN,,260.235549334,BROADWAY,86136.0,2937.0
5231,"(-73.94712787269522, 40.8308052302063)","(-73.94438082587183, 40.8296510072829)",CSCL_MN,ST,868.774764928,W 152 ST,1904.0,181486.0
5232,"(-73.94757857070356, 40.83017834022157)","(-73.94803334202766, 40.82955413348181)",CSCL_MN,,259.922445178,BROADWAY,90330.0,2938.0
5233,"(-73.94757857070356, 40.83017834022157)","(-73.9448355798611, 40.82902289636446)",CSCL_MN,ST,868.014631895,W 151 ST,2097.0,19605.0
